claim_id,section,evidence_tier,claim_type,proposed_claim,proposition,dataset,validation_evidence,quantitative_anchor,limitation,allowed_strength,prohibited_extrapolation,status
C17,5;7;8,T4_LIMITATION,Claim boundary,Coverage validation does not qualify bound tightness or observability-class sharpness.,P4,P4_R1_TIGHTNESS_DIAGNOSTIC,Paper2_G2_03r1_P4_UncertaintyCoverageRevision/P4_R1_TIGHTNESS_DIAGNOSTIC.md,"median bound/error: development source 4.096571E4, binary 5.405257E4; holdout source 5.565432E3, binary 5.666318E3",Post-execution non-gating diagnostic with no registered tightness threshold.,Use explicitly as a limitation.,"Tight, efficient, sharp, or calibrated class thresholds.",READY
C18,5;7,T3_BOUNDED_DIAGNOSTIC,Diagnostic observation,"A response solve can reduce subtraction error in selected small-guard cases, but it is not an authoritative truth route without its own validated uncertainty bound.",P4 stable lane note,G2_03_SMALL_GUARD_SUBSET,Paper2_G2_03/G2_03_status_report.md; Paper2_G2_02_Mathematical_Formalization/proposition_library.md,stable small-guard win rate=1; median error ratio=6.835288346086798E-10,Selected registered subset; no universal superiority claim.,Use motivates an independent response lane.,Stable lane is exact truth or always better.,DIAGNOSTIC_ONLY
C19,6,T3_BOUNDED_DIAGNOSTIC,Representative case observation,M8 and M16 are two frozen representative mixed-field tangents to which the metric framework can be applied.,P1-P4 framework,WP25_WP26B_M8_M16_SNAPSHOTS,WP25/r2/WP25_r2_FIRST_FAILURE_ADJUDICATION_20260803.md; WP26B/WP26B_IMPLEMENTATION_AND_REGISTERED_DECOMPOSITION_REPORT_20260804.md; WP27/outputs/wp27_snapshot_results_registered.csv,dimensions 196 and 900; historical effects 7.401483558746767E-11 and 2.7774236971513784E-10,Two points only; M16 stopped before acceptance; not a mesh series.,Use illustrates or motivates.,"Mesh-independent law, UEL revalidation, or engineering qualification.",DIAGNOSTIC_ONLY
C20,6,T3_BOUNDED_DIAGNOSTIC,Historical diagnostic,WP26B reproduced exact capture reconstruction but its selected-iterate subtraction identity failed the registered gate despite machine-level solve residuals.,P4 motivation,WP26B_M8_SELECTED_ITERATE,WP26B/WP26B_IMPLEMENTATION_AND_REGISTERED_DECOMPOSITION_REPORT_20260804.md,40/40 reconstruction exact; identity relative difference=9.571428157758627E-03; gate=1E-10,WP26B did not preregister the stable alternative lane and assigned no cause.,Use motivates uncertainty-aware observability analysis.,WP26B proved catastrophic cancellation or a guard defect.,DIAGNOSTIC_ONLY
C21,6;7,T4_LIMITATION,Publishability boundary,WP27 observability labels and class counts remain diagnostic-only and are excluded from confirmatory Paper 2 conclusions.,P4 boundary,WP27_HISTORICAL_RESULTS,Paper2_G2_03_WP27_Publishability_Adjudication/wp27_publishability_decision.md; Paper2_G2_03r1_P4_UncertaintyCoverageRevision/P4_R1_MODEL_REPORT.md,WP27 counts 112/19/37; high-precision reference coverage does not include dimensions 196/900,"WP27 remains completed historically; this is a publication-use restriction, not reclassification.",Use as an explicit limitation and provenance note.,Use WP27 labels as validated truth or claim counts as classification accuracy.,READY_AS_LIMITATION
C22,2;7,T4_LIMITATION,Nonlinear transfer boundary,"Local linear response metrics do not by themselves determine Newton acceptance, iteration count, basin, branch sequence, or final root.",P1 limitation; G2-01 M14-M15,THEORY_BOUNDARY_AND_HISTORICAL_NEGATIVE_EVIDENCE,Paper2_G2_01_Theory_Audit/03_metric_definition_contract.md; Paper2_G2_02_Mathematical_Formalization/proposition_library.md,No scalar nonlinear predictor validated,"A limitation, not a universal no-prediction theorem.",Use does not determine by itself.,"Predict nonlinear convergence or basin from eta_z, rho_g, or kappa.",READY_AS_LIMITATION
C23,1;7,T4_LIMITATION,Terminology boundary,"A tangent-only matrix perturbation is not automatically residual, mixed-FE, physical, conservation, or bound-preserving stabilization.",G2-01 terminology contract,PRIMARY_THEORY_AND_SCOPE_BOUNDARY,Paper2_G2_01_Theory_Audit/04_claim_boundary_matrix.md; 03_metric_definition_contract.md,"KSTAB changes the returned matrix lane, not a registered residual stabilization term",A method-class distinction; no statement about all diagonal terms.,Use numerical guard or matrix perturbation.,Call KSTAB inf-sup stabilization or conservation correction.,READY
C24,5;7,T4_LIMITATION,Generalization boundary,"P4-r1 coverage is confined to registered dimension-2/4/8/16 SPD, nonsymmetric, and saddle-point-like decimal families and their disjoint holdout.",P4,P4_R1_REGISTERED_FAMILIES,Paper2_G2_03r1_P4_UncertaintyCoverageRevision/inputs/p4_r1_contract.json; P4_R1_MODEL_REPORT.md,600 total evaluated cases across development and holdout,No dimension 196/900 case-matched truth audit; no mesh or operator-class universality.,Use within the registered families.,Universal uncertainty model or mesh-independent coverage law.,READY_AS_LIMITATION
C25,1;7;8,T1_THEOREM_PLUS_T2_VALIDATION,Integrated contribution,"A defensible assessment requires declared coordinates, separate matrix/operator/directional metrics, and uncertainty-qualified response evidence.",P1-P4,G2_02_PROPOSITIONS_G2_03_P2_P3_P4_R1,G2-02 proposition library; G2-03 P2/P3 validation; P4-r1 model report,P2 and P3 pass exact gates; P4-r1 coverage 600/600 in both truth lanes,Framework validated only within the stated analytical and registered numerical scope.,Use as the bounded methodological contribution.,"Universal guard decision rule, optimal guard, nonlinear prediction, or engineering qualification.",READY
C26,5;7;8,T1_THEOREM,Formal definition,A nonnegative computed response is uncertainty-qualified distinguishable from zero when d_obs-U>0 under a declared truth contract and route-specific uncertainty model.,P4 definition,ANALYTIC_UNCERTAINTY_ENCLOSURE,Paper2_G2_08/inputs/g2_08_distinguishability_contract.json; Paper2_G2_08/G2_08_SCOPE_AND_EVIDENCE_CONTRACT_20260806.md,d_obs-U>0,"Excludes zero only under the declared model; no prescribed relative accuracy, physical importance, safety, harm, or nonlinear consequence.","Use distinguishable from zero only with the truth contract, route, norm, and uncertainty model declared.","Observable, accurate, important, safe, harmful, or nonlinear consequence without separate evidence.",READY
C27,1;6;7;8,T2_VALIDATED_REGISTERED,Registered case result,"For the frozen M8 binary-operand system, the direct-difference response is distinguishable from zero under its registered direct-route uncertainty envelope.",P4 application,G2_08_M8_RUN1_DIRECT_ROUTE,Paper2_G2_08/outputs/g2_08_distinguishability_decisions.json; G2_08_IMPLEMENTATION_AND_REGISTERED_OFFLINE_AUDIT_REPORT.md,d_obs=2.918501453675815619E-12; U=5.880137782404462163E-13; lower=2.330487675435369403E-12; relative-error upper bound=0.252313618492145249,"M8_RUN1 binary64 operands, transformed free system, Euclidean norm, direct route only; no fixed relative-accuracy gate.",Use distinguishable from zero and conservative relative-error upper bound for this registered route.,"Direct subtraction is generally unreliable, guard safety or harm, physical importance, nonlinear cause, M16 transfer, or mesh law.",READY
C28,1;6;7;8,T2_VALIDATED_REGISTERED,Registered case result,"For the frozen M8 binary-operand system, the response-equation result is distinguishable from zero under its registered response-route uncertainty envelope.",P1/P4 application,G2_08_M8_RUN1_RESPONSE_ROUTE,Paper2_G2_08/outputs/g2_08_distinguishability_decisions.json; G2_08_IMPLEMENTATION_AND_REGISTERED_OFFLINE_AUDIT_REPORT.md,d_obs=2.920014225448921194E-12; U=2.588299567178916551E-22; lower=2.920014225190091238E-12; relative-error upper bound=8.863996431422932E-11,"M8_RUN1 binary64 operands, transformed free system, Euclidean norm, response equation only.",Use distinguishable from zero under this registered response-route envelope.,"Universal superiority, guard safety or harm, physical importance, nonlinear cause, M16 transfer, or mesh law.",READY
C29,6;7,T2_VALIDATED_REGISTERED,Case-specific route comparison,"For this frozen M8 system, the response-equation route produced a substantially tighter registered uncertainty envelope than the direct-difference route.",P4 route comparison,G2_08_M8_RUN1_TWO_ROUTES,Paper2_G2_08/outputs/g2_08_route_comparison.json; g2_08_tightness_and_cost.json,U_response/U_direct approximately 4.40E-10; route-specific relative-error bounds 8.86E-11 and 0.252,One frozen system; the routes have different arithmetic pathways and uncertainty decompositions.,Use tighter for this M8 case only.,"Response equation is universally superior, optimal, cheaper, or more reliable.",READY
C30,6;7;8,T4_LIMITATION,Transfer boundary,"The M8 result alone does not transfer to M16; the M16 decision is supported only by its separate registered qualification, and neither case transfers to nonlinear trajectories, mesh behavior, finite-element stability, guard safety or harm, or engineering qualification.",Scope boundary,G2_08_AUTHORIZATION_BOUNDARY,Paper2_G2_08/G2_08_STATUS.json; Paper2_G2_11/G2_11_FINAL_STATUS.json; Paper2_G2_11/G2_11_IMPLEMENTATION_AND_REGISTERED_OFFLINE_EXECUTION_REPORT.md,M8 dimension=196; M16 dimension=900; no parent or nonlinear replay,Separate case decisions; no transfer or pooled population inference.,"Use independently qualified, repeated on two frozen operators, and case-specific.","Mesh law, dimension trend, population generality, nonlinear classification, safety or harm, or engineering qualification.",READY_AS_LIMITATION
C_M16_01,1;6;7;8,T2_VALIDATED_REGISTERED,Registered second-operator result,The route-specific assessment procedure was completed on a second independently frozen coupled finite-element tangent.,P1/P4 application,G2_11_M16_FROZEN_BINARY_OPERANDS,Paper2_G2_11/G2_11_FINAL_STATUS.json; outputs/g2_11_execution_status.csv; G2_11_IMPLEMENTATION_AND_REGISTERED_OFFLINE_EXECUTION_REPORT.md,dimension=900; registered rows=28/28 PASS,One additional frozen tangent; no population or mesh-series inference.,Use completed on a second independently frozen tangent.,"Generalized to finite-element systems, mesh trend, dimension law, or engineering qualification.",READY
C_M16_02,6;7;8,T2_VALIDATED_REGISTERED,Registered case result,The M16 direct-difference response was distinguishable from zero under its registered direct-route uncertainty envelope.,P4 application,G2_11_M16_DIRECT_ROUTE,Paper2_G2_11/outputs/g2_11_distinguishability_decisions.json; outputs/g2_11_direct_uncertainty_summary.json,d_obs=2.4633764407707217104E-11; U=3.9707999109429423246E-12; lower=2.0662964496764274780E-11,"M16 binary operands, transformed free system, Euclidean norm, direct route only.",Use distinguishable from zero under this registered route envelope.,"Direct-route reliability in general, safety or harm, nonlinear consequence, or mesh law.",READY
C_M16_03,6;7;8,T2_VALIDATED_REGISTERED,Registered case result,The M16 response-equation response was distinguishable from zero under its registered response-route uncertainty envelope.,P1/P4 application,G2_11_M16_RESPONSE_ROUTE,Paper2_G2_11/outputs/g2_11_distinguishability_decisions.json; outputs/g2_11_response_uncertainty_summary.json,d_obs=2.4636718460970622980E-11; U=6.9304826171673561801E-21; lower=2.4636718454040140363E-11,"M16 binary operands, transformed free system, Euclidean norm, response-equation route only.",Use distinguishable from zero under this registered route envelope.,"Universal route superiority, safety or harm, nonlinear consequence, or mesh law.",READY
C_TWO_OPERATOR_01,1;6;7;8,T2_VALIDATED_REGISTERED,Cross-case replication boundary,The same declared assessment architecture was completed for two independently frozen mixed-field tangents.,Integrated P1/P4 workflow,G2_08_M8_AND_G2_11_M16,Paper2_G2_08/G2_08_STATUS.json; Paper2_G2_11/G2_11_FINAL_STATUS.json,two frozen operators; dimensions 196 and 900; both routes qualified separately,Replication of procedure only; the cases are not a mesh series or sampled operator population.,Maximum wording: repeated on two frozen operators.,"Generalization, mesh convergence, dimension dependence, route ranking, safety or harm, nonlinear consequence, or engineering qualification.",READY
